GISJOIN,GEOGYEAR,ZCTAA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CL8AA2020,CL8AA2020L,CL8AA2020U
"G54644","2010","54644",1180.86,988,1518,1242.92,1212,1271,1434,1504.39,1466,1531
"G54645","2010","54645",79.71,74,120,85.00,85,85,81,83.00,83,83
"G54646","2010","54646",2864.51,2820,2963,3692.04,3692,3694,3899,4102.00,4094,4119
"G54648","2010","54648",1605.88,1322,1765,1756.60,1664,1843,1737,1721.95,1674,1914
"G54650","2010","54650",17105.82,15341,18565,20593.95,20527,20742,23377,24635.17,23631,25356
"G54651","2010","54651",1173.75,1036,1262,1300.00,1300,1300,1382,1399.19,1278,1438
"G54652","2010","54652",842.66,784,860,872.80,832,903,953,988.76,924,989
"G54653","2010","54653",821.85,790,877,912.54,902,932,894,1072.00,1060,1079
"G54654","2010","54654",135.12,21,398,151.17,40,422,153,193.98,45,224
"G54655","2010","54655",1658.05,1601,1822,1861.13,1842,2011,1778,1785.00,1785,1817
"G54656","2010","54656",13868.49,13615,14011,15560.92,15346,15589,17377,18428.95,18392,18430
"G54657","2010","54657",419.69,311,761,441.56,416,606,411,416.89,409,514
"G54658","2010","54658",2349.22,2033,2699,2533.88,2377,2604,2501,2567.70,2367,2701
"G54659","2010","54659",1163.33,1118,1263,1328.45,1303,1378,1409,1463.77,1382,1543
"G54660","2010","54660",12796.60,12572,13072,14398.13,14272,14402,15688,16044.63,15998,16168
"G54661","2010","54661",2400.16,2321,2565,2913.37,2860,3087,3415,3897.51,3826,4048
"G54664","2010","54664",1407.03,1336,1507,1465.62,1435,1519,1516,1608.14,1571,1618
"G54665","2010","54665",7342.98,7178,7611,7966.80,7950,7985,8427,8751.40,8727,8985
"G54666","2010","54666",2266.32,2226,2338,2461.24,2450,2480,2593,2636.28,2597,2696
"G54667","2010","54667",3943.43,3635,4278,4301.82,4221,4457,4599,4874.11,4723,5081
"G54669","2010","54669",5677.08,4804,6462,7181.22,7029,7293,7619,8098.34,7941,8192
"G54670","2010","54670",1526.96,1371,1730,1725.99,1654,1736,1878,1880.74,1685,2041
"G54701","2010","54701",31211.97,30621,31733,36170.28,35859,36521,38803,41428.40,41059,41720
"G54703","2010","54703",38780.48,38482,39189,39784.99,39660,40001,42272,44455.58,44279,44615
"G54720","2010","54720",6052.29,5862,6381,6972.05,6781,7181,7039,8434.07,8161,8721
"G54721","2010","54721",1320.41,1272,1397,1341.00,1326,1341,1373,1281.00,1281,1281
"G54722","2010","54722",3608.04,3459,3786,3892.22,3836,3975,4016,4320.08,4248,4388
"G54723","2010","54723",1172.99,1109,1200,1209.52,1193,1233,1191,1139.03,1107,1209
"G54724","2010","54724",6343.39,6107,6628,6598.89,6515,6669,7174,7538.51,7483,7567
"G54725","2010","54725",2547.46,2406,2612,2850.47,2820,2888,2897,2991.32,2959,3001
"G54726","2010","54726",1818.35,1670,2013,1782.61,1660,1891,1690,1744.16,1744,1768
"G54727","2010","54727",4251.53,3956,4593,4413.13,4197,4680,4915,5218.96,5209,5219
"G54728","2010","54728",5269.36,5002,5422,5993.23,5857,6107,6139,6240.91,6158,6373
"G54729","2010","54729",25729.26,25082,26267,27844.38,27323,28261,31469,34004.85,33800,34359
"G54730","2010","54730",3881.32,3480,4094,4395.03,4138,4480,4903,5076.23,4831,5421
"G54731","2010","54731",738.50,635,764,852.09,812,880,802,784.05,733,831
